"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS000030","Doral","Miami-Dade County","FL","Miami-Dade Sheriff's Office","Police","Miami-Dade Sheriff's Office began using ShotSpotter in 2011, but abandoned it in 2014. MDPD reintroduced the technology in 2016.","County","Gunshot Detection","ShotSpotter","https://www.miaminewtimes.com/news/miami-dade-police-spending-up-to-5-million-on-gunshot-detector-they-said-doesnt-work-8790892","","Miami New Times","","9/22/2016","https://www.nbcmiami.com/news/local/Thousands-Gunshots-Few-Arrests-Miami-Police-NBC-Investigators.html","","NBC Miami","","","","","","","",""
"AOS000031","Miami","Miami-Dade County","FL","Miami Police Department","Police","Miami Police Department began using Shotspotter gunshot detection technology in 2014 and tripled the area covered in 2017.","Municipal","Gunshot Detection","ShotSpotter","https://www.miamiherald.com/news/local/community/miami-dade/article176206371.html","","Miami Herald","","9/29/2017","","","","","","","","","","",""
"AOS000032","Clarksburg","Harrison County","WV","Harrison County Sheriff's Office","Sheriff","The Harrison County Sheriff's Office receives alerts from automated license plate readers that were installed through a joint effort by many cities in West Virginia. In 2018, the sheriff's office used grant money from the West Virginia Department of Homeland Security to install ALPRs at the U.S. 50/Interstate 79 intersection.","County","Automated License Plate Readers","","https://www.wvnews.com/theet/news/it-s-a-very-valuable-tool-license-plate-readers-helping/article_74db0b9c-046a-5d91-860c-e57c81409e59.html","","The Exponent Telegram","","5/12/2019","https://www.wdtv.com/content/news/License-plate-readers-to-be-installed-at-Rt-50-and-I-79-intersection-491403441.html","","WDTV","","08/21/2018","","","","","",""
"AOS000033","Holbrook","Navajo County","AZ","Navajo County Sheriff's Office","Sheriff","Navajo County Sheriff's Office has been using automatic license plate readers since 2013.","County","Automated License Plate Readers","","https://tribunenewsnow.com/sheriffs-office-increases-use-of-lpr-cameras","","The Tribune","","2/20/2018","","","","","","","","","","",""
"AOS000034","Corpus Christi","Nueces County","TX","Corpus Christi Police Department","Police","The Corpus Christi Police Department has 178 body-worn cameras as of May 2019.","Municipal","Body-worn Cameras","","https://www.caller.com/story/news/crime/2019/05/02/corpus-christi-police-officials-no-body-cam-torreon-shooting/3655170002/","","Caller Times","","05/02/2019","https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html","","U.S Department of Justice","","2015","","","","","",""
"AOS000035","Harker Heights","Bell County","TX","Harker Heights Police Department","Police","The Harker Heights Police Department patrol officers wear Coban body-worn cameras.","Municipal","Body-worn Cameras","Coban","http://www.ci.harker-heights.tx.us/images/PDF/HarkerHeightsFY2017-2018BudgetBook.pdf","","Harker Heights government website.","","2017/2018","https://www.facebook.com/harkerheightspd/photos/a.1677204508960964/3483623328319064/?type=3&theater","","Harker Heights Police Department Facebook","","01/14/2020","","","","","",""
"AOS000036","Calumet City","Cook County","IL","Calumet City Police Department","Police","The Calumet City Police Department began using Shotspotter gunshot detection technology in 2018.","Municipal","Gunshot Detection","ShotSpotter","https://calumetcity.org/uncategorized/calumet-city-police-join-select-company-with-crime-fighting-device/","","Calumet City Police","","04/03/2018","https://www.chicagotribune.com/suburbs/daily-southtown/ct-sta-calumet-city-shotspotter-st-0404-20180403-story.html","","Chicago Tribune","","04/03/2018","","","","","",""
"AOS000037","Pittsburgh","Allegheny County","PA","Baldwin Police Department","Police","The Baldin Police Department has used automated license plate readers since 2011. It purchased another ALPR system in 2018 with asset forfeiture funds","Municipal","Automated License Plate Readers","","https://www.post-gazette.com/local/region/2015/04/05/license-plate-recognition-homeland-security-privacy-data/stories/201504030307","","Pittsburgh Post Gazette","","04/04/2015","https://www.baldwinborough.org/ArchiveCenter/ViewFile/Item/65","","Baldwin Borough 2018 Budget","","7/10/1905","","","","","",""
"AOS000038","Quartzsite","La Paz County","AZ","Quartzsite Police Department","Police","In September 2017, the Quartzsite Police Department purchased a police car equipped with an automated license plate reader with funds from the Arizona Automobile Theft Authority.","Municipal","Automated License Plate Readers","","https://www.parkerpioneer.net/news/article_3bb4e6be-a2e8-11e7-9392-4ffb8b6a7bb3.html","","Parker Pioneer","","09/26/2017","","","","","","","","","","",""
"AOS000039","Avon","Lorain County","OH","Avon Police Department","Police","The Avon Police Department spent $20,000 to equip all 35 of its officers with body-worn cameras in 2016.","Municipal","Body-worn Cameras","","https://www.cleveland.com/avon/2016/01/avon_police_wear_body_cameras.html","","Cleveland.com, northeast Ohio news source","","01/11/2019","https://www.facebook.com/AvonOH/photos/a.366117700257281/744941325708248/?type=3&theater","","City of Avon, Ohio Facebook photo","","01/19/2018","","","","","",""
"AOS000040","Goldsboro","Wayne County","NC","Wayne County Sheriff's Office","Sheriff","In April 2017, the Wayne County Sheriff's Office filed a request to reallocate $10,000 for the purchase of two new automated license plate readers, one of which was a replacement for a broken camera.","County","Automated License Plate Readers","ELSAG","https://www.waynegov.com/AgendaCenter/ViewFile/Agenda/_04182017-424","","Wayne County Gov.","","04/19/2017","","","","","","","","","","",""
"AOS000041","Poughkeepsie","Dutchess County","NY","Poughkeepsie Police Department","Police","In 2012, the Town of Poughkeepsie Police Department spent $14,943 on ELSAG automated license plate readers .","Municipal","Automated License Plate Readers","ELSAG","https://www.aclu.org/sites/default/files/field_document/alprpra_cityofpoughkeepsie_poughkeepsieny_1.pdf","","American Civil Liberties Union (ACLU)","","12/06/2012","","","","","","","","","","",""
"AOS000043","Poughkeepsie","Dutchess County","NY","Poughkeepsie Police Department","Police","The Poughkeepsie Police Department purchased 65 Axon body-worn cameras in 2020.","Municipal","Body-worn Cameras","Axon","https://www.dailyfreeman.com/news/local-news/poughkeepsie-police-begin-using-body-worn-cameras/article_acf223a2-3f8d-11ea-96bd-4b389d4aeb3f.html","","Daily Freeman","","01/25/2020","https://cityofpoughkeepsie.com/police-department/2020/01/23/city-of-poughkeepsie-police-begin-using-body-worn-cameras/","","City of Poughkeepsie Police Department","","01/23/2020","","","","","",""
"AOS000044","Pueblo","Pueblo County","CO","Pueblo Police Department","Police","The Pueblo Police Department began using ELSAG automated license plate readers in 2010. PPD added another ALPR system in 2018. The Pueblo Transportation Department also added Nupark ALPR systems, which is checked against the Pueblo Police Department's hot lists.","Municipal","Automated License Plate Readers","ELSAG","https://www.pueblo.us/DocumentCenter/View/22628/LPR-Privacy-Policy?bidId=","","City of Pueblo Colorado","","","https://www.pueblo.us/ArchiveCenter/ViewFile/Item/195","","Pueblo Police Department Annual Report","","7/2/1905","https://www.chieftain.com/news/20190617/pueblo-police-get-another-license-plate-reader","","Pueblo Chieftain","","06/17/2019",""
"AOS000045","Newburgh","Orange County","NY","Newburgh Police Department","Police","The Newburg Police Department began using Shotspotter gunshot detection technology in 2017, but the system was cut from the 2020 budget. As of January 2020, Shotspotter was still operational as police sought supplementary funding.","Municipal","Gunshot Detection","ShotSpotter","https://www.dailyfreeman.com/news/police-blotter/newburgh-seeks-funding-for-shot-spotter-program/article_7db3d098-2ff9-11ea-9596-7f78c4fcb36b.html","","Daily Freeman","","1/5/2020","https://www.cityofnewburgh-ny.gov/sites/newburghny/files/news/newburgh_pd_crime_reduction.pdf","","Newburgh Police Department","","5/9/2019","","","","","",""
"AOS000046","Rockwall","Rockwall County","TX","Rockwall Police Department","Police","In 2017, the Rockwall Police Department received a grant from the governor of Texas to outfit every patrol officer with body-worn cameras. In 2018, RPD switched from Coban to GETAC-brand cameras. The city's 2020 budget included $47,000 for GETAC-brand BWCs.","Municipal","Body-worn Cameras","Getac","http://www.rockwall.com/documents/finance/FY20%20Proposed%20Budget.pdf","","City of Rockwall","","08/19/2019","http://www.rockwall.com/Meetings/CouncilMinutes/2018/03-19-18%20cc%20mtg%20mins.pdf","","City of Rockwall","","03/19/2018","","","","","",""
"AOS000047","Jefferson","Jefferson County","WI","Jefferson County Sheriff's Office","Sheriff","The Jefferson County Sheriff's Office uses body-worn cameras.","County","Body-worn Cameras","","https://www.facebook.com/678284275517798/photos/a.689632877716271/3070438786302323/?type=3&theater","","Jefferson County Sheriff's Office's Facebook Page","","03/05/2020","https://www.doj.state.wi.us/sites/default/files/oid-reports/18-226/DCI%20Investigative%20File%20Public%20Records%20Release%20-%20DCI%20Case%20Reports.pdf","","Wisconsin Department of Justice","","01/14/2018","","","","","",""
"AOS000048","Tallahassee","Leon County","FL","Florida State University Police Department","Police","The Florida State University Police Department began using body-worn cameras as early as 2014.","University","Body-worn Cameras","Coban","https://www.fsunews.com/story/news/2014/12/03/fsupd-invests-in-police-body-cameras/19904629/","","FSU News","","12/04/2014","https://www.facebook.com/FSUPoliceDepartment/photos/a.682295928470850/2688361991197557/?type=3&theater","","Facebook","","09/25/2019","","","","","",""
"AOS000049","Easton","Northampton County","PA","Easton Police Department","Police","The Easton Police Department purchased 61 body-worn Cameras in 2019.","Municipal","Body-worn Cameras","","https://www.mcall.com/news/local/easton/mc-nws-easton-body-cam-20191013-vk6sahxtwfdajjkcvbuq5yhbeu-story.html","","Morning Call","","10/13/2019","","","","","","","","","","",""
"AOS000050","Easton","Northampton County","PA","Easton Police Department","Police","In 2017, the Mayor of Easton approved a surveillance camera plan to ""flood the West Ward with license plate recognition software"" so the Easton Police Department can ""record every single vehicle.""","Municipal","Automated License Plate Readers","","https://www.wfmz.com/business/easton-to-install-new-surveillance-system-in-west-ward/article_9d3eae74-2807-5950-a889-a50f255ec0ca.html","","WFMZ","","05/16/2017","https://www.aclu.org/files/FilesPDFs/ALPR/federal/BJA/20230-20239%20City%20of%20Bethlehem.pdf","","ACLU","","07/20/2011","","","","","",""
"AOS000051","Urbana","Champaign County","OH","Urbana Police Division","Police","According to the Urbana Police Division's 2010 annual report, the agency purchased an automated license plate reader through a U.S. Department of Homeland Security grant.","Municipal","Automated License Plate Readers","","https://www.urbanaohio.com/uploads/1/2/4/6/124631710/2010_annual_report.pdf","","City of Urbana","","07/02/1905","","","","","","","","","","",""
"AOS000053","Stafford","Stafford County","VA","Stafford County Sheriff's Office","Sheriff","According the Free Lance-Star, the Stafford County Sheriff's Office has operated automated license plate Rreaders since March 2011.","County","Automated License Plate Readers","","https://www.fredericksburg.com/news/who-has-your-license-plate-data/article_2fdab69a-4dca-5776-85b7-fb194cf9d5e1.html","","Fredericksburg.com","","07/27/2013","","","","","","","","","","",""
"AOS000054","Paterson","Passaic County","NJ","Paterson Police Department","Police","The Paterson Police Department implemented ShotSpotter gunshot detection technology in 2007.","Municipal","Gunshot Detection","ShotSpotter","https://www.govtech.com/dc/articles/Paterson-NJ-Improves-Public-Safety-with.html","","Government Technology","","09/25/2007","https://www.shotspotter.com/news/in-njs-high-crime-cities-police-alerted-of-gunshots-in-seconds-read-more-in-njs-high-crime-citi/","","ShotSpotter","","11/28/2016","https://www.rlsmedia.com/article/shotspotter-activation-detects-gunfire-paterson-neighborhood","","RLS Media","","10/1/2019",""
"AOS000055","Buckhannon","Upshur County","WV","Buckhannon Police Department","Police","The Buckhannon Police Department spent $14,000 on nine body-worn cameras in early 2015.","Municipal","Body-worn Cameras","","https://wvpress.org/copydesk/insight/buckhannon-police-wear-body-cameras/","","The Inter-Mountain","","09/25/2014","","","","","","","","","","",""
"AOS000056","Winter Haven","Polk County","FL","Polk County Sheriff's Office","Sheriff","The Polk County Sheriff’s Office uses Flock Safety automated license plate readers as of July 2024.","County","Automated License Plate Readers","Flock Safety","https://www.plantcityobserver.com/eyes-10-feet-in-the-skies/","","Plant City Observer","","7/11/2024","","","","","","","","","","",""
"AOS000057","Bradenton","Manatee County","FL","Manatee County Sheriff's Office","Sheriff","The Manatee County Sheriff's Office has eight automated license plate readers, as of 2018.","County","Automated License Plate Readers","","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","","","","","","","",""
"AOS000058","New Port Richey","Pasco County","FL","Pasco County Sheriff's Office","Sheriff","The Pasco County Sheriff's Office has five automated license plate readers as of 2018.","County","Automated License Plate Readers","","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","","","","","","","",""
"AOS000059","Largo","Pinellas County","FL","Pinellas County Sheriff's Office","Sheriff","The Pinellas County Sheriff's Office has 30 automated license plate readers as of 2018.","County","Automated License Plate Readers","","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","","","","","","","",""
"AOS000060","Clearwater","Pinellas County","FL","Clearwater Police Department","Police","The Clearwater Police Deparmtent has four automated license plate readers as of 2018.","Municipal","Automated License Plate Readers","","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","","","","","","","",""
"AOS000061","New Port Richey","Pasco County","FL","New Port Richey Police Department","Police","The New Port Richey Police Department has two automated license plate readers as of 2018.","Municipal","Automated License Plate Readers","","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","","","","","","","",""
"AOS000062","Sarasota","Sarasota County","FL","Sarasota Police Department","Police","The Sarasota Police Department has two automated license plate readers as of 2018.","Municipal","Automated License Plate Readers","","https://www.wtsp.com/article/news/investigations/10-investigates/your-license-plate-under-surveillance-more-tampa-bay-area-agencies-using-automatic-readers/67-599749753","","10 News","","10/1/18","","","","","","","","","","",""
"AOS000063","Harrisonville","Cass County","MO","Cass County Sheriff's Office","Sheriff","The Cass County Sheriff's Office spent $20,595 on automatic license plate readers in 2018.","County","Automated License Plate Readers","ELSAG","https://www.casscounty.com/AgendaCenter/ViewFile/Agenda/_04252018-211","","Cass County Commision","","04/25/18","https://southcasstribune.com/2018/10/21/sheriff-launches-criminal-apprehension-unit/","","South Cass Tribune","","10/21/2018","","","","","",""
